2011-03-06 11:11:50 Notice: Notice (8): Constant PDF_PAGE_ORIENTATION already defined in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 6]
2011-03-06 11:30:17 Notice: Notice (8): Undefined variable: project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 304]
2011-03-06 11:30:17 Notice: Notice (8): Undefined variable: project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 306]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: offshoreProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 66]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: offshoreProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 68]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: inhouseProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 69]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: completeProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 70]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: incompleteProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 71]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: standardMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 75]
2011-03-06 11:57:00 Notice: Notice (8): Undefined variable: richMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 76]
2011-03-06 12:35:30 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/qa_resources/view.ctp, line 91]
2011-03-06 12:35:52 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/qa_resources/view.ctp, line 91]
2011-03-06 12:35:55 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/qa_resources/view.ctp, line 91]
